Airline,Source,Destination,Total_Stops,Price,Duration_Hours_Minutes,Day_of_Departure,Month_of_Departure,Year_of_Departure,Dep_Time_Hour,Dep_Time_Minute,Arrival_Time_Hour,Arrival_Time_Minute,Day_of_Arrival,Month_of_Arrival,Year_of_Arrival
Air India,Kolkata,Banglore,1,8891.0,545,5,1,2019,9,25,18,30,5,1,2019
Jet Airways,Delhi,Cochin,1,12242.0,745,27,3,2019,16,0,4,25,28,3,2019
Jet Airways,Kolkata,Banglore,1,11467.0,1500,5,1,2019,17,0,18,0,5,2,2019
Jet Airways,Kolkata,Banglore,1,14781.0,730,21,5,2019,21,10,9,20,22,5,2019
Multiple carriers,Delhi,Cochin,1,10197.0,720,18,5,2019,7,0,19,0,18,5,2019
Jet Airways,Banglore,Delhi,1,17261.0,725,3,6,2019,21,25,9,30,3,7,2019
Air India,Delhi,Cochin,1,7480.0,765,5,1,2019,20,40,9,25,5,2,2019
IndiGo,Kolkata,Banglore,0,4804.0,155,21,5,2019,15,30,18,5,21,5,2019
SpiceJet,Kolkata,Banglore,0,4439.0,145,21,4,2019,9,0,11,25,21,4,2019
Jet Airways,Delhi,Cochin,2,10368.0,1375,6,6,2019,5,30,4,25,6,7,2019
SpiceJet,Delhi,Cochin,1,6065.0,310,21,3,2019,6,10,11,20,21,3,2019
Jet Airways,Kolkata,Banglore,1,8586.0,585,24,5,2019,18,55,4,40,25,5,2019
IndiGo,Delhi,Cochin,0,5406.0,185,18,3,2019,14,30,17,35,18,3,2019
Jet Airways,Delhi,Cochin,2,12142.0,600,6,6,2019,18,25,4,25,6,7,2019
Jet Airways,Delhi,Cochin,1,14714.0,620,6,6,2019,2,15,12,35,6,6,2019
Jet Airways,Delhi,Cochin,1,10262.0,1570,15,6,2019,2,15,4,25,16,6,2019
Air India,Banglore,Delhi,1,15434.0,725,3,6,2019,11,50,23,55,3,6,2019
Air India,Kolkata,Banglore,2,10676.0,1390,18,5,2019,12,0,11,10,19,5,2019
IndiGo,Kolkata,Banglore,0,4804.0,155,21,4,2019,20,20,22,55,21,4,2019
Jet Airways,Delhi,Cochin,2,13014.0,1025,6,9,2019,19,30,12,35,6,10,2019
IndiGo,Banglore,Delhi,0,3943.0,170,5,3,2019,10,10,13,0,5,3,2019
Air India,Mumbai,Hyderabad,2,9678.0,990,3,6,2019,5,30,22,0,3,6,2019
Jet Airways,Kolkata,Banglore,1,14781.0,685,15,5,2019,8,25,19,50,15,5,2019
Multiple carriers,Delhi,Cochin,1,10197.0,600,15,5,2019,9,0,19,0,15,5,2019
Air India,Delhi,Cochin,2,10861.0,800,5,9,2019,5,55,19,15,5,9,2019
Jet Airways,Kolkata,Banglore,1,10844.0,450,5,1,2019,21,10,4,40,5,2,2019
Air India,Delhi,Cochin,1,7480.0,965,21,5,2019,17,20,9,25,22,5,2019
IndiGo,Delhi,Cochin,1,5684.0,500,24,6,2019,17,10,1,30,25,6,2019
Jet Airways,Delhi,Cochin,1,14714.0,1620,6,6,2019,16,0,19,0,6,7,2019
Jet Airways,Kolkata,Banglore,1,9314.0,505,4,1,2019,9,35,18,0,4,1,2019
Air India,Kolkata,Banglore,0,4435.0,155,15,3,2019,20,45,23,20,15,3,2019
Multiple carriers,Delhi,Cochin,1,11789.0,690,27,6,2019,7,30,19,0,27,6,2019
SpiceJet,Banglore,Delhi,0,3919.0,175,4,3,2019,21,10,0,5,4,4,2019
Jet Airways,Banglore,Delhi,0,5198.0,175,4,6,2019,15,15,18,10,4,6,2019
SpiceJet,Banglore,Delhi,0,4273.0,170,24,3,2019,5,45,8,35,24,3,2019
Vistara,Kolkata,Banglore,1,8820.0,1550,5,9,2019,17,0,18,50,5,10,2019
IndiGo,Mumbai,Hyderabad,0,2754.0,90,5,6,2019,12,0,13,30,5,6,2019
Vistara,Kolkata,Banglore,1,8085.0,1625,6,9,2019,20,20,23,25,6,10,2019
Jet Airways,Kolkata,Banglore,1,10539.0,1480,6,9,2019,20,25,21,5,6,10,2019
Jet Airways,Kolkata,Banglore,1,14676.0,750,6,9,2019,9,35,22,5,6,9,2019
Jet Airways,Delhi,Cochin,1,6017.0,1570,27,3,2019,2,15,4,25,28,3,2019
Jet Airways,Banglore,Delhi,0,4544.0,185,4,1,2019,18,55,22,0,4,1,2019
Trujet,Mumbai,Hyderabad,1,4140.0,195,3,6,2019,13,5,16,20,3,6,2019
Jet Airways,Banglore,Delhi,0,7229.0,175,5,3,2019,11,10,14,5,5,3,2019
Air India,Delhi,Cochin,2,16373.0,1275,3,9,2019,22,0,19,15,3,10,2019
Air India,Kolkata,Banglore,2,10991.0,1045,5,1,2019,5,50,23,15,5,1,2019
Jet Airways,Kolkata,Banglore,1,9663.0,1315,18,5,2019,14,5,12,0,19,5,2019
Air India,Banglore,Delhi,1,14305.0,1520,3,1,2019,22,0,23,20,3,2,2019
Air Asia,Delhi,Cochin,1,6752.0,865,15,5,2019,16,45,7,10,16,5,2019
Jet Airways,Kolkata,Banglore,1,8529.0,1010,6,12,2019,16,30,9,20,13,6,2019
IndiGo,Delhi,Cochin,0,4729.0,195,27,3,2019,5,35,8,50,27,3,2019
Multiple carriers,Delhi,Cochin,1,7670.0,735,18,5,2019,8,45,21,0,18,5,2019
Jet Airways,Mumbai,Hyderabad,0,4995.0,90,5,3,2019,10,20,11,50,5,3,2019
Jet Airways,Banglore,Delhi,0,7229.0,180,5,1,2019,8,20,11,20,5,1,2019
IndiGo,Banglore,Delhi,0,4823.0,175,27,4,2019,7,10,10,5,27,4,2019
Air Asia,Kolkata,Banglore,0,3782.0,150,27,3,2019,19,35,22,5,27,3,2019
Jet Airways,Delhi,Cochin,1,12898.0,1485,21,5,2019,18,15,19,0,22,5,2019
SpiceJet,Kolkata,Banglore,0,3841.0,140,24,5,2019,22,20,0,40,25,5,2019
Multiple carriers,Delhi,Cochin,1,9627.0,505,18,5,2019,10,35,19,0,18,5,2019
Jet Airways,Kolkata,Banglore,1,14571.0,890,6,9,2019,21,10,12,0,6,10,2019
IndiGo,Kolkata,Banglore,0,6985.0,155,24,3,2019,15,20,17,55,24,3,2019
Jet Airways,Mumbai,Hyderabad,0,8040.0,85,21,6,2019,7,5,8,30,21,6,2019
IndiGo,Kolkata,Banglore,0,4804.0,155,21,6,2019,22,15,0,50,22,6,2019
Multiple carriers,Delhi,Cochin,1,10678.0,845,27,6,2019,4,55,19,0,27,6,2019
Jet Airways,Kolkata,Banglore,1,14231.0,1515,24,3,2019,16,55,18,10,25,3,2019
Jet Airways,Kolkata,Banglore,1,8529.0,1220,6,12,2019,20,0,16,20,13,6,2019
Air India,Delhi,Cochin,2,11753.0,500,24,6,2019,10,55,19,15,24,6,2019
Jet Airways,Delhi,Cochin,2,16704.0,1760,18,5,2019,23,5,4,25,20,5,2019
Jet Airways,Kolkata,Banglore,1,13374.0,585,6,6,2019,18,55,4,40,6,7,2019
Air India,Mumbai,Hyderabad,0,3625.0,80,5,1,2019,21,5,22,25,5,1,2019
Jet Airways,Delhi,Cochin,1,16079.0,1620,21,5,2019,16,0,19,0,22,5,2019
Jet Airways,Delhi,Cochin,1,10262.0,940,27,6,2019,20,55,12,35,28,6,2019
Jet Airways,Kolkata,Banglore,1,9663.0,330,15,5,2019,6,30,12,0,15,5,2019
Multiple carriers,Delhi,Cochin,1,9595.0,450,18,5,2019,18,0,1,30,19,5,2019
IndiGo,Kolkata,Banglore,0,4804.0,155,24,6,2019,17,15,19,50,24,6,2019
Air India,Kolkata,Banglore,2,12744.0,1165,6,9,2019,10,0,5,25,6,10,2019
Air India,Banglore,Delhi,0,6961.0,170,6,1,2019,13,20,16,10,6,1,2019
Jet Airways,Kolkata,Banglore,1,9663.0,875,5,6,2019,14,5,4,40,5,7,2019
Multiple carriers,Delhi,Cochin,1,7575.0,520,21,5,2019,10,35,19,15,21,5,2019
Air India,Banglore,Delhi,2,13355.0,925,3,3,2019,19,10,10,35,3,7,2019
Air India,Kolkata,Banglore,2,12592.0,1700,24,5,2019,9,25,13,45,25,5,2019
Air India,Mumbai,Hyderabad,0,3625.0,90,6,1,2019,13,55,15,25,6,1,2019
Jet Airways,Delhi,Cochin,1,10262.0,805,24,6,2019,15,0,4,25,25,6,2019
Air India,Delhi,Cochin,2,9443.0,1410,21,5,2019,19,45,19,15,22,5,2019
Air India,Delhi,Cochin,1,18959.0,635,3,9,2019,8,40,19,15,3,9,2019
IndiGo,Mumbai,Hyderabad,0,4784.0,85,3,3,2019,6,20,7,45,3,3,2019
Air India,Kolkata,Banglore,1,7893.0,1110,4,1,2019,17,30,12,0,4,2,2019
Air India,Delhi,Cochin,2,14431.0,1490,27,6,2019,6,50,7,40,28,6,2019
Jet Airways Business,Banglore,Delhi,1,79512.0,340,3,1,2019,5,45,11,25,3,1,2019
Jet Airways,Mumbai,Hyderabad,0,3210.0,90,24,5,2019,19,35,21,5,24,5,2019
Multiple carriers,Delhi,Cochin,1,13677.0,900,3,9,2019,6,0,21,0,3,9,2019
Air India,Delhi,Cochin,1,7480.0,1640,27,5,2019,6,5,9,25,28,5,2019
Air India,Delhi,Cochin,1,8372.0,760,24,6,2019,19,0,7,40,25,6,2019
Jet Airways,Delhi,Cochin,2,11664.0,1380,27,3,2019,5,25,4,25,28,3,2019
Air India,Banglore,Delhi,0,6961.0,165,18,6,2019,10,0,12,45,18,6,2019
Air India,Banglore,Delhi,0,6121.0,165,24,4,2019,17,0,19,45,24,4,2019
Air India,Banglore,Delhi,0,5911.0,165,4,12,2019,6,10,8,55,4,12,2019
GoAir,Banglore,Delhi,0,3398.0,170,5,6,2019,11,40,14,30,5,6,2019
Multiple carriers,Delhi,Cochin,1,7530.0,390,6,9,2019,19,0,1,30,6,10,2019
GoAir,Banglore,Delhi,0,3419.0,165,24,5,2019,20,55,23,40,24,5,2019
Vistara,Banglore,Delhi,0,6558.0,175,24,3,2019,21,10,0,5,25,3,2019
Air India,Kolkata,Banglore,1,10203.0,1435,6,9,2019,20,30,20,25,6,10,2019
Jet Airways,Banglore,Delhi,1,11087.0,1525,3,12,2019,18,55,20,20,13,3,2019
SpiceJet,Banglore,Delhi,0,5575.0,170,24,3,2019,20,30,23,20,24,3,2019
Air Asia,Delhi,Cochin,1,6152.0,870,24,4,2019,7,55,22,25,24,4,2019
Jet Airways,Kolkata,Banglore,1,5608.0,435,5,9,2019,10,20,17,35,5,9,2019
Jet Airways,Banglore,Delhi,1,17261.0,1365,3,6,2019,11,40,10,25,3,7,2019
Jet Airways,Delhi,Cochin,2,15129.0,1615,5,9,2019,9,40,12,35,5,10,2019
GoAir,Banglore,Delhi,0,3419.0,165,5,6,2019,20,55,23,40,5,6,2019
IndiGo,Delhi,Cochin,1,6218.0,285,21,3,2019,10,45,15,30,21,3,2019
Jet Airways,Delhi,Cochin,1,14714.0,620,6,3,2019,2,15,12,35,6,3,2019
Multiple carriers,Delhi,Cochin,1,14848.0,465,6,3,2019,11,30,19,15,6,3,2019
Jet Airways,Kolkata,Banglore,1,9358.0,435,5,12,2019,10,20,17,35,5,12,2019
Air India,Kolkata,Banglore,1,8366.0,1350,5,6,2019,9,25,7,55,5,7,2019
Multiple carriers,Delhi,Cochin,1,15342.0,465,3,6,2019,11,30,19,15,3,6,2019
Jet Airways,Mumbai,Hyderabad,0,5678.0,80,21,3,2019,3,5,4,25,21,3,2019
IndiGo,Kolkata,Banglore,0,4804.0,155,5,6,2019,22,15,0,50,5,7,2019
Jet Airways,Kolkata,Banglore,1,14571.0,475,24,5,2019,8,25,16,20,24,5,2019
Jet Airways,Kolkata,Banglore,1,12681.0,740,4,1,2019,8,25,20,45,4,1,2019
Jet Airways,Banglore,Delhi,1,17261.0,780,3,6,2019,21,25,10,25,3,7,2019
Vistara,Kolkata,Banglore,1,9922.0,1065,6,9,2019,17,0,10,45,6,10,2019
Jet Airways,Kolkata,Banglore,1,10844.0,1025,18,5,2019,18,55,12,0,19,5,2019
SpiceJet,Banglore,Delhi,0,4423.0,160,21,4,2019,5,55,8,35,21,4,2019
IndiGo,Banglore,Delhi,0,3419.0,165,24,5,2019,1,30,4,15,24,5,2019
Jet Airways,Delhi,Cochin,1,14714.0,335,24,6,2019,22,50,4,25,25,6,2019
Jet Airways,Banglore,Delhi,1,11087.0,340,3,9,2019,5,45,11,25,3,9,2019
IndiGo,Delhi,Cochin,1,6316.0,570,27,6,2019,16,0,1,30,28,6,2019
SpiceJet,Chennai,Kolkata,0,3543.0,135,27,5,2019,9,45,12,0,27,5,2019
Jet Airways,Kolkata,Banglore,1,14571.0,1025,6,6,2019,18,55,12,0,6,7,2019
Jet Airways,Kolkata,Banglore,1,14676.0,505,6,9,2019,9,35,18,0,6,9,2019
Jet Airways,Banglore,Delhi,1,17261.0,995,3,6,2019,16,55,9,30,3,7,2019
Jet Airways,Kolkata,Banglore,1,13941.0,910,15,5,2019,8,25,23,35,15,5,2019
Air India,Delhi,Cochin,1,13348.0,1565,3,3,2019,6,10,8,15,3,4,2019
Jet Airways,Banglore,Delhi,0,8016.0,175,18,6,2019,11,10,14,5,18,6,2019
Jet Airways,Delhi,Cochin,1,12898.0,330,27,5,2019,7,5,12,35,27,5,2019
Jet Airways,Banglore,Delhi,0,7229.0,185,4,9,2019,18,55,22,0,4,9,2019
SpiceJet,Mumbai,Hyderabad,0,2017.0,90,27,6,2019,5,45,7,15,27,6,2019
Jet Airways,Banglore,Delhi,1,16736.0,670,3,6,2019,8,0,19,10,3,6,2019
SpiceJet,Kolkata,Banglore,0,3873.0,150,18,6,2019,17,10,19,40,18,6,2019
IndiGo,Delhi,Cochin,1,6704.0,490,5,9,2019,14,20,22,30,5,9,2019
Jet Airways,Kolkata,Banglore,1,10844.0,1495,6,6,2019,18,55,19,50,6,7,2019
Vistara,Banglore,Delhi,0,7450.0,160,3,9,2019,19,40,22,20,3,9,2019
Jet Airways,Banglore,Delhi,1,16736.0,730,3,6,2019,16,55,5,5,3,7,2019
Jet Airways,Delhi,Cochin,1,10262.0,1295,15,6,2019,15,0,12,35,16,6,2019
Air India,Kolkata,Banglore,2,10991.0,2065,5,1,2019,5,50,16,15,5,2,2019
SpiceJet,Banglore,Delhi,0,3311.0,175,6,6,2019,21,10,0,5,6,7,2019
IndiGo,Delhi,Cochin,1,7081.0,895,24,5,2019,10,35,1,30,25,5,2019
IndiGo,Banglore,Delhi,0,3943.0,180,27,4,2019,21,15,0,15,28,4,2019
Air India,Delhi,Cochin,1,8372.0,375,21,5,2019,13,0,19,15,21,5,2019
Air India,Delhi,Cochin,2,11701.0,1410,3,9,2019,19,45,19,15,3,10,2019
Jet Airways,Banglore,Delhi,0,5769.0,175,6,3,2019,15,15,18,10,6,3,2019
Multiple carriers,Delhi,Cochin,2,15965.0,625,6,12,2019,15,5,1,30,13,6,2019
SpiceJet,Banglore,Delhi,0,4423.0,170,6,12,2019,9,30,12,20,6,12,2019
Jet Airways,Banglore,Delhi,1,6136.0,280,15,3,2019,9,45,14,25,15,3,2019
Jet Airways,Banglore,Delhi,1,11087.0,365,3,12,2019,16,55,23,0,3,12,2019
IndiGo,Chennai,Kolkata,0,3540.0,145,6,3,2019,5,15,7,40,6,3,2019
Jet Airways,Delhi,Cochin,1,12898.0,865,21,5,2019,14,0,4,25,22,5,2019
IndiGo,Banglore,Delhi,0,4591.0,165,18,4,2019,6,5,8,50,18,4,2019
Air India,Delhi,Cochin,1,8635.0,1660,24,3,2019,4,0,7,40,25,3,2019
Jet Airways,Delhi,Cochin,1,14714.0,600,27,6,2019,9,0,19,0,27,6,2019
Jet Airways,Kolkata,Banglore,1,14151.0,1365,18,5,2019,20,25,19,10,19,5,2019
Multiple carriers,Delhi,Cochin,1,8835.0,860,6,1,2019,4,55,19,15,6,1,2019
Air India,Kolkata,Banglore,1,11936.0,925,21,5,2019,17,30,8,55,22,5,2019
Jet Airways,Delhi,Cochin,2,13882.0,900,6,9,2019,21,35,12,35,6,10,2019
Air India,Delhi,Cochin,1,5117.0,965,4,1,2019,17,20,9,25,4,2,2019
Jet Airways,Banglore,Delhi,0,4544.0,175,24,5,2019,15,15,18,10,24,5,2019
IndiGo,Delhi,Cochin,1,6442.0,940,15,5,2019,6,50,22,30,15,5,2019
Air India,Delhi,Cochin,2,10441.0,1275,5,9,2019,22,0,19,15,5,10,2019
IndiGo,Mumbai,Hyderabad,0,2227.0,95,21,5,2019,20,5,21,40,21,5,2019
Jet Airways,Banglore,Delhi,0,7229.0,165,15,4,2019,6,0,8,45,15,4,2019
Jet Airways,Delhi,Cochin,1,10262.0,360,6,1,2019,13,0,19,0,6,1,2019
Jet Airways,Banglore,Delhi,1,13817.0,800,3,12,2019,8,0,21,20,3,12,2019
SpiceJet,Delhi,Cochin,1,5975.0,295,21,5,2019,17,55,22,50,21,5,2019
IndiGo,Kolkata,Banglore,0,4148.0,160,21,3,2019,21,25,0,5,22,3,2019
Multiple carriers,Delhi,Cochin,1,13587.0,570,6,6,2019,11,30,21,0,6,6,2019
Jet Airways,Mumbai,Hyderabad,0,2759.0,80,21,3,2019,3,5,4,25,21,3,2019
Jet Airways,Banglore,Delhi,0,7229.0,180,15,5,2019,19,50,22,50,15,5,2019
Air India,Delhi,Cochin,2,13547.0,1475,5,9,2019,7,5,7,40,5,10,2019
SpiceJet,Kolkata,Banglore,0,3873.0,155,21,6,2019,6,55,9,30,21,6,2019
Jet Airways,Kolkata,Banglore,1,14388.0,730,21,5,2019,16,30,4,40,22,5,2019
Jet Airways,Kolkata,Banglore,1,13731.0,910,24,5,2019,18,55,10,5,25,5,2019
SpiceJet,Kolkata,Banglore,0,3815.0,160,27,3,2019,6,55,9,35,27,3,2019
Jet Airways,Mumbai,Hyderabad,0,5678.0,90,15,3,2019,15,50,17,20,15,3,2019
Jet Airways,Kolkata,Banglore,1,9663.0,1495,5,9,2019,8,25,9,20,5,10,2019
GoAir,Kolkata,Banglore,1,8855.0,455,21,5,2019,16,40,0,15,22,5,2019
Jet Airways,Delhi,Cochin,2,15129.0,1125,5,9,2019,9,40,4,25,5,10,2019
Jet Airways,Banglore,Delhi,1,13555.0,365,18,3,2019,16,55,23,0,18,3,2019
Jet Airways,Kolkata,Banglore,1,10844.0,665,21,5,2019,21,10,8,15,22,5,2019
Jet Airways,Banglore,Delhi,1,7832.0,580,21,3,2019,11,40,21,20,21,3,2019
Jet Airways,Delhi,Cochin,2,11150.0,810,27,6,2019,23,5,12,35,28,6,2019
Vistara,Kolkata,Banglore,1,8452.0,865,5,9,2019,20,20,10,45,5,10,2019
Multiple carriers,Delhi,Cochin,1,9646.0,385,6,9,2019,9,45,16,10,6,9,2019
IndiGo,Banglore,Delhi,0,3943.0,170,24,6,2019,10,10,13,0,24,6,2019
GoAir,Delhi,Cochin,1,5281.0,355,6,12,2019,7,0,12,55,6,12,2019
Air India,Delhi,Cochin,2,14667.0,865,6,1,2019,17,15,7,40,6,2,2019
Jet Airways,Kolkata,Banglore,1,14571.0,800,24,5,2019,20,0,9,20,25,5,2019
Jet Airways,Banglore,Delhi,1,28097.0,390,3,1,2019,5,50,12,20,3,1,2019
Jet Airways,Banglore,Delhi,1,17471.0,1355,3,6,2019,20,35,19,10,3,7,2019
Jet Airways,Delhi,Cochin,1,10577.0,660,6,12,2019,8,0,19,0,6,12,2019
Multiple carriers,Delhi,Cochin,1,14848.0,465,24,6,2019,11,30,19,15,24,6,2019
IndiGo,Banglore,Delhi,0,4591.0,170,15,4,2019,23,30,2,20,16,4,2019
IndiGo,Chennai,Kolkata,0,3597.0,140,18,5,2019,19,35,21,55,18,5,2019
IndiGo,Delhi,Cochin,1,6938.0,380,27,5,2019,16,10,22,30,27,5,2019
Air Asia,Kolkata,Banglore,0,3807.0,150,24,6,2019,19,55,22,25,24,6,2019
Jet Airways,Delhi,Cochin,1,10262.0,600,6,12,2019,9,0,19,0,6,12,2019
Air India,Kolkata,Banglore,2,11432.0,725,5,9,2019,8,20,20,25,5,9,2019
Jet Airways,Banglore,Delhi,0,7229.0,160,21,3,2019,19,55,22,35,21,3,2019
Multiple carriers,Delhi,Cochin,1,14848.0,465,21,5,2019,11,30,19,15,21,5,2019
Jet Airways,Kolkata,Banglore,1,8586.0,1025,15,5,2019,6,30,23,35,15,5,2019
Multiple carriers,Delhi,Cochin,1,6106.0,520,4,9,2019,10,35,19,15,4,9,2019
SpiceJet,Kolkata,Banglore,0,3873.0,140,5,3,2019,22,20,0,40,5,4,2019
Jet Airways,Delhi,Cochin,2,15812.0,440,15,6,2019,11,40,19,0,15,6,2019
Jet Airways,Kolkata,Banglore,1,12121.0,1080,24,5,2019,20,25,14,25,25,5,2019
Jet Airways,Kolkata,Banglore,1,8586.0,800,5,12,2019,6,30,19,50,5,12,2019
Multiple carriers,Delhi,Cochin,1,7354.0,705,6,12,2019,7,30,19,15,6,12,2019
IndiGo,Kolkata,Banglore,0,4778.0,160,3,6,2019,21,25,0,5,3,7,2019
IndiGo,Delhi,Cochin,1,6838.0,750,6,9,2019,8,30,21,0,6,9,2019
Multiple carriers,Delhi,Cochin,1,10276.0,755,3,6,2019,9,45,22,20,3,6,2019
Jet Airways,Banglore,Delhi,0,8016.0,180,18,6,2019,8,20,11,20,18,6,2019
Air India,Banglore,Delhi,1,4943.0,615,21,3,2019,8,15,18,30,21,3,2019
IndiGo,Banglore,Delhi,0,4823.0,170,24,6,2019,8,30,11,20,24,6,2019
Jet Airways,Kolkata,Banglore,1,12996.0,475,4,1,2019,8,25,16,20,4,1,2019
Air India,Delhi,Cochin,1,9929.0,615,27,5,2019,9,0,19,15,27,5,2019
Multiple carriers,Delhi,Cochin,1,9508.0,930,6,3,2019,10,0,1,30,6,4,2019
Air India,Delhi,Cochin,0,5674.0,185,21,3,2019,18,5,21,10,21,3,2019
IndiGo,Chennai,Kolkata,0,3858.0,145,18,6,2019,11,35,14,0,18,6,2019
IndiGo,Kolkata,Banglore,0,4804.0,155,24,5,2019,22,15,0,50,25,5,2019
Multiple carriers,Delhi,Cochin,1,13377.0,690,27,5,2019,14,0,1,30,28,5,2019
Jet Airways,Delhi,Cochin,1,12898.0,805,27,5,2019,15,0,4,25,28,5,2019
Air Asia,Kolkata,Banglore,0,4409.0,155,6,1,2019,10,20,12,55,6,1,2019
Air Asia,Delhi,Cochin,1,8759.0,870,6,1,2019,7,55,22,25,6,1,2019
Air India,Banglore,Delhi,1,10394.0,1405,3,3,2019,0,30,23,55,3,3,2019
IndiGo,Chennai,Kolkata,0,3858.0,145,18,3,2019,11,35,14,0,18,3,2019
Air Asia,Delhi,Cochin,1,6253.0,330,15,6,2019,7,55,13,25,15,6,2019
Jet Airways,Delhi,Cochin,2,15129.0,1045,27,5,2019,19,10,12,35,28,5,2019
GoAir,Kolkata,Banglore,1,4773.0,470,24,3,2019,6,35,14,25,24,3,2019
Jet Airways,Kolkata,Banglore,1,9663.0,1610,21,5,2019,6,30,9,20,22,5,2019
Jet Airways,Kolkata,Banglore,1,12692.0,1005,6,12,2019,17,0,9,45,13,6,2019
IndiGo,Banglore,Delhi,0,3943.0,165,6,6,2019,1,30,4,15,6,6,2019
Jet Airways,Kolkata,Banglore,1,10703.0,1685,5,12,2019,17,0,21,5,13,5,2019
IndiGo,Delhi,Cochin,1,8784.0,860,27,3,2019,6,40,21,0,27,3,2019
Multiple carriers,Delhi,Cochin,1,11622.0,585,6,9,2019,9,15,19,0,6,9,2019
IndiGo,Chennai,Kolkata,0,5277.0,140,24,5,2019,22,5,0,25,25,5,2019
Air Asia,Delhi,Cochin,1,8327.0,865,21,5,2019,16,45,7,10,22,5,2019
IndiGo,Delhi,Cochin,0,6885.0,195,3,9,2019,5,35,8,50,3,9,2019
Jet Airways,Banglore,Delhi,0,8016.0,180,6,12,2019,17,45,20,45,6,12,2019
IndiGo,Delhi,Cochin,1,10112.0,305,6,1,2019,23,30,4,35,6,2,2019
IndiGo,Delhi,Cochin,1,14871.0,485,3,6,2019,17,30,1,35,3,7,2019
Jet Airways,Delhi,Cochin,1,10262.0,600,6,9,2019,9,0,19,0,6,9,2019
Jet Airways,Mumbai,Hyderabad,0,2470.0,90,24,3,2019,19,35,21,5,24,3,2019
Air India,Delhi,Cochin,2,11622.0,1210,3,9,2019,13,15,9,25,3,10,2019
Vistara,Kolkata,Banglore,1,8662.0,865,5,6,2019,20,20,10,45,5,7,2019
Air India,Delhi,Cochin,2,11972.0,1560,24,6,2019,17,15,19,15,25,6,2019
Jet Airways,Delhi,Cochin,2,11992.0,1140,6,6,2019,9,25,4,25,6,7,2019
Jet Airways,Delhi,Cochin,1,12373.0,1105,18,5,2019,10,0,4,25,19,5,2019
Multiple carriers,Delhi,Cochin,1,7198.0,930,6,1,2019,10,0,1,30,6,2,2019
Jet Airways,Delhi,Cochin,1,14714.0,330,15,6,2019,7,5,12,35,15,6,2019
IndiGo,Delhi,Cochin,1,6316.0,570,6,9,2019,16,0,1,30,6,10,2019
Air India,Delhi,Cochin,1,5998.0,875,27,3,2019,17,40,8,15,28,3,2019
Jet Airways,Kolkata,Banglore,1,13044.0,1285,6,12,2019,18,55,16,20,13,6,2019
Multiple carriers,Delhi,Cochin,1,9646.0,565,6,12,2019,13,5,22,30,6,12,2019
Air Asia,Delhi,Cochin,1,6451.0,865,27,6,2019,16,45,7,10,28,6,2019
GoAir,Delhi,Cochin,1,5281.0,355,24,6,2019,7,0,12,55,24,6,2019
Jet Airways,Mumbai,Hyderabad,0,2228.0,90,5,1,2019,19,35,21,5,5,1,2019
IndiGo,Banglore,Delhi,0,3943.0,165,6,1,2019,6,5,8,50,6,1,2019
Air India,Delhi,Cochin,2,11753.0,1245,15,6,2019,10,55,7,40,16,6,2019
Jet Airways,Delhi,Cochin,2,12819.0,810,24,6,2019,23,5,12,35,25,6,2019
Jet Airways,Delhi,Cochin,2,8728.0,1735,21,3,2019,13,55,18,50,22,3,2019
SpiceJet,Delhi,Cochin,1,4812.0,270,5,9,2019,8,45,13,15,5,9,2019
Jet Airways,Kolkata,Banglore,1,14151.0,1745,5,1,2019,17,0,22,5,5,2,2019
Vistara,Kolkata,Banglore,1,8452.0,765,5,1,2019,20,20,9,5,5,2,2019
IndiGo,Kolkata,Banglore,1,6762.0,305,24,3,2019,15,10,20,15,24,3,2019
Jet Airways,Banglore,Delhi,1,13817.0,1100,3,12,2019,18,55,13,15,13,3,2019
Jet Airways,Delhi,Cochin,1,12898.0,1355,21,5,2019,14,0,12,35,22,5,2019
IndiGo,Kolkata,Banglore,1,3480.0,265,4,6,2019,19,20,23,45,4,6,2019
Jet Airways,Banglore,Delhi,1,27992.0,580,3,1,2019,11,40,21,20,3,1,2019
Jet Airways,Delhi,Cochin,2,7791.0,600,21,3,2019,18,25,4,25,22,3,2019
Air India,Delhi,Cochin,1,5704.0,1010,21,3,2019,6,10,23,0,21,3,2019
IndiGo,Kolkata,Banglore,1,5268.0,340,21,5,2019,16,35,22,15,21,5,2019
GoAir,Banglore,Delhi,0,3898.0,170,6,6,2019,11,40,14,30,6,6,2019
SpiceJet,Kolkata,Banglore,0,3847.0,150,15,3,2019,9,0,11,30,15,3,2019
Multiple carriers,Delhi,Cochin,1,10877.0,690,6,12,2019,7,30,19,0,6,12,2019
Multiple carriers,Delhi,Cochin,1,8371.0,630,4,9,2019,8,45,19,15,4,9,2019
Multiple carriers,Delhi,Cochin,1,7038.0,920,6,6,2019,7,10,22,30,6,6,2019
Jet Airways,Kolkata,Banglore,1,14571.0,590,6,9,2019,6,30,16,20,6,9,2019
Jet Airways,Kolkata,Banglore,1,11841.0,800,6,9,2019,20,0,9,20,6,10,2019
Jet Airways,Delhi,Cochin,2,15129.0,1390,18,5,2019,13,25,12,35,19,5,2019
SpiceJet,Kolkata,Banglore,0,3841.0,140,15,6,2019,22,20,0,40,16,6,2019
