Airline,Source,Destination,Total_Stops,Duration_Hours_Minutes,Day_of_Departure,Month_of_Departure,Year_of_Departure,Dep_Time_Hour,Dep_Time_Minute,Arrival_Time_Hour,Arrival_Time_Minute,Day_of_Arrival,Month_of_Arrival,Year_of_Arrival
Jet Airways,Delhi,Cochin,2,1320,27,6,2019,14,35,12,35,28,6,2019
Jet Airways,Kolkata,Banglore,1,1400,15,5,2019,18,55,18,15,16,5,2019
Vistara,Chennai,Kolkata,0,135,24,6,2019,7,45,10,0,24,6,2019
IndiGo,Chennai,Kolkata,0,140,27,5,2019,19,35,21,55,27,5,2019
IndiGo,Kolkata,Banglore,0,165,27,4,2019,9,35,12,20,27,4,2019
IndiGo,Delhi,Cochin,1,625,6,3,2019,10,35,21,0,6,3,2019
SpiceJet,Banglore,Delhi,0,170,27,6,2019,9,30,12,20,27,6,2019
Multiple carriers,Delhi,Cochin,1,720,27,5,2019,9,0,21,0,27,5,2019
Jet Airways,Delhi,Cochin,2,1790,27,6,2019,6,45,12,35,28,6,2019
Multiple carriers,Delhi,Cochin,1,615,5,9,2019,9,0,19,15,5,9,2019
IndiGo,Chennai,Kolkata,0,140,5,12,2019,19,35,21,55,5,12,2019
IndiGo,Mumbai,Hyderabad,0,90,6,12,2019,6,25,7,55,6,12,2019
IndiGo,Kolkata,Banglore,1,300,5,12,2019,4,50,9,50,5,12,2019
Jet Airways,Mumbai,Hyderabad,0,90,15,5,2019,19,35,21,5,15,5,2019
Jet Airways,Kolkata,Banglore,1,1570,5,1,2019,17,0,19,10,5,2,2019
SpiceJet,Mumbai,Hyderabad,0,90,6,6,2019,13,15,14,45,6,6,2019
Air Asia,Delhi,Cochin,1,330,3,3,2019,16,45,22,15,3,3,2019
Vistara,Kolkata,Banglore,1,700,5,6,2019,7,10,18,50,5,6,2019
IndiGo,Kolkata,Banglore,0,150,15,6,2019,15,15,17,45,15,6,2019
IndiGo,Delhi,Cochin,1,300,4,6,2019,16,0,21,0,4,6,2019
IndiGo,Kolkata,Banglore,0,170,21,3,2019,5,30,8,20,21,3,2019
IndiGo,Delhi,Cochin,0,195,3,3,2019,21,5,0,20,3,4,2019
Air India,Mumbai,Hyderabad,1,465,3,6,2019,16,0,23,45,3,6,2019
SpiceJet,Banglore,Delhi,0,160,21,4,2019,5,55,8,35,21,4,2019
Air India,Delhi,Cochin,2,1275,21,5,2019,22,0,19,15,22,5,2019
SpiceJet,Banglore,Delhi,0,170,21,4,2019,9,30,12,20,21,4,2019
Jet Airways,Delhi,Cochin,1,300,4,1,2019,14,0,19,0,4,1,2019
Air India,Kolkata,Banglore,2,445,5,6,2019,5,50,13,15,5,6,2019
IndiGo,Mumbai,Hyderabad,0,90,24,5,2019,6,25,7,55,24,5,2019
Jet Airways,Delhi,Cochin,2,1375,24,6,2019,5,30,4,25,25,6,2019
Air India,Banglore,Delhi,0,165,24,3,2019,6,10,8,55,24,3,2019
Multiple carriers,Delhi,Cochin,1,560,6,6,2019,11,40,21,0,6,6,2019
Air Asia,Kolkata,Banglore,0,150,15,4,2019,19,55,22,25,15,4,2019
SpiceJet,Kolkata,Banglore,1,435,15,5,2019,11,15,18,30,15,5,2019
Multiple carriers,Delhi,Cochin,1,830,6,9,2019,11,40,1,30,6,10,2019
Jet Airways,Mumbai,Hyderabad,0,90,21,3,2019,19,35,21,5,21,3,2019
Multiple carriers,Delhi,Cochin,1,845,3,3,2019,11,30,1,35,3,4,2019
Air India,Kolkata,Banglore,2,1830,18,5,2019,12,0,18,30,19,5,2019
Jet Airways,Delhi,Cochin,1,300,6,9,2019,14,0,19,0,6,9,2019
Vistara,Banglore,Delhi,0,170,21,4,2019,9,45,12,35,21,4,2019
Multiple carriers,Delhi,Cochin,1,375,21,3,2019,7,5,13,20,21,3,2019
IndiGo,Chennai,Kolkata,0,140,24,3,2019,7,55,10,15,24,3,2019
Multiple carriers,Delhi,Cochin,1,830,27,5,2019,11,40,1,30,28,5,2019
Air India,Mumbai,Hyderabad,0,80,6,9,2019,21,5,22,25,6,9,2019
Jet Airways,Kolkata,Banglore,1,845,5,12,2019,20,0,10,5,13,5,2019
Jet Airways,Mumbai,Hyderabad,0,90,5,12,2019,10,20,11,50,5,12,2019
Jet Airways,Delhi,Cochin,1,655,15,6,2019,17,30,4,25,16,6,2019
SpiceJet,Kolkata,Banglore,0,160,3,6,2019,6,55,9,35,3,6,2019
Air India,Delhi,Cochin,2,1580,5,9,2019,7,5,9,25,5,10,2019
Jet Airways,Banglore,Delhi,0,175,15,5,2019,15,15,18,10,15,5,2019
IndiGo,Kolkata,Banglore,0,155,18,5,2019,11,30,14,5,18,5,2019
Jet Airways,Kolkata,Banglore,1,425,4,1,2019,16,30,23,35,4,1,2019
SpiceJet,Chennai,Kolkata,0,135,5,6,2019,9,45,12,0,5,6,2019
IndiGo,Banglore,Delhi,0,175,24,3,2019,18,25,21,20,24,3,2019
SpiceJet,Kolkata,Banglore,0,140,27,4,2019,22,20,0,40,28,4,2019
Air India,Mumbai,Hyderabad,0,75,27,5,2019,19,30,20,45,27,5,2019
IndiGo,Banglore,Delhi,0,180,24,5,2019,21,15,0,15,25,5,2019
Jet Airways,Banglore,Delhi,1,390,3,12,2019,5,45,12,15,3,12,2019
Air India,Mumbai,Hyderabad,0,80,24,5,2019,21,5,22,25,24,5,2019
Air Asia,Kolkata,Banglore,0,155,18,3,2019,10,20,12,55,18,3,2019
Jet Airways,Banglore,Delhi,0,180,4,9,2019,19,50,22,50,4,9,2019
Jet Airways,Banglore,Delhi,0,180,5,1,2019,8,20,11,20,5,1,2019
IndiGo,Kolkata,Banglore,0,150,27,4,2019,14,25,16,55,27,4,2019
Jet Airways,Delhi,Cochin,1,300,15,4,2019,14,0,19,0,15,4,2019
IndiGo,Kolkata,Banglore,0,165,6,6,2019,20,25,23,10,6,6,2019
SpiceJet,Banglore,Delhi,0,160,27,4,2019,5,55,8,35,27,4,2019
Jet Airways,Mumbai,Hyderabad,0,85,21,5,2019,7,5,8,30,21,5,2019
Air India,Banglore,Delhi,1,1265,3,6,2019,11,50,8,55,3,7,2019
SpiceJet,Kolkata,Banglore,0,160,18,3,2019,6,55,9,35,18,3,2019
Jet Airways,Delhi,Cochin,1,925,6,9,2019,13,0,4,25,6,10,2019
Jet Airways,Delhi,Cochin,0,195,21,6,2019,11,0,14,15,21,6,2019
Jet Airways,Delhi,Cochin,2,1775,27,6,2019,13,25,19,0,28,6,2019
Air Asia,Kolkata,Banglore,0,155,3,6,2019,10,20,12,55,3,6,2019
Air India,Delhi,Cochin,2,1275,18,5,2019,22,0,19,15,19,5,2019
Jet Airways,Kolkata,Banglore,1,1430,24,5,2019,20,0,19,50,25,5,2019
Jet Airways,Delhi,Cochin,1,940,24,6,2019,20,55,12,35,25,6,2019
Air Asia,Delhi,Cochin,1,870,24,4,2019,7,55,22,25,24,4,2019
Air India,Delhi,Cochin,1,925,6,3,2019,3,50,19,15,6,3,2019
SpiceJet,Chennai,Kolkata,0,135,24,3,2019,8,20,10,35,24,3,2019
IndiGo,Delhi,Cochin,1,515,3,6,2019,4,45,13,20,3,6,2019
Air India,Mumbai,Hyderabad,0,80,6,1,2019,21,5,22,25,6,1,2019
Multiple carriers,Delhi,Cochin,1,630,15,5,2019,15,0,1,30,16,5,2019
Jet Airways,Kolkata,Banglore,1,1730,18,5,2019,9,35,14,25,19,5,2019
Jet Airways,Banglore,Delhi,1,300,24,3,2019,5,45,10,45,24,3,2019
IndiGo,Delhi,Cochin,1,570,15,6,2019,16,0,1,30,16,6,2019
Air India,Kolkata,Banglore,2,1345,15,5,2019,7,0,5,25,16,5,2019
Air India,Delhi,Cochin,1,640,24,6,2019,21,0,7,40,25,6,2019
SpiceJet,Delhi,Cochin,1,310,3,3,2019,6,10,11,20,3,3,2019
Air Asia,Banglore,Delhi,0,170,24,6,2019,4,55,7,45,24,6,2019
IndiGo,Mumbai,Hyderabad,0,90,27,5,2019,2,35,4,5,27,5,2019
IndiGo,Kolkata,Banglore,0,150,24,5,2019,14,25,16,55,24,5,2019
Air India,Delhi,Cochin,3,2280,24,6,2019,5,15,19,15,25,6,2019
Jet Airways,Delhi,Cochin,1,450,18,5,2019,20,55,4,25,19,5,2019
Jet Airways,Delhi,Cochin,2,810,27,6,2019,5,30,19,0,27,6,2019
Multiple carriers,Delhi,Cochin,1,795,15,5,2019,6,0,19,15,15,5,2019
IndiGo,Banglore,Delhi,0,170,4,6,2019,22,10,1,0,4,7,2019
Jet Airways,Kolkata,Banglore,1,330,6,9,2019,6,30,12,0,6,9,2019
Jet Airways,Delhi,Cochin,1,610,15,6,2019,18,15,4,25,16,6,2019
Jet Airways,Delhi,Cochin,2,1390,18,5,2019,13,25,12,35,19,5,2019
IndiGo,Mumbai,Hyderabad,0,90,6,12,2019,21,20,22,50,6,12,2019
Jet Airways,Banglore,Delhi,1,625,15,3,2019,8,0,18,25,15,3,2019
Air India,Kolkata,Banglore,1,960,24,3,2019,20,30,12,30,25,3,2019
SpiceJet,Chennai,Kolkata,0,140,27,3,2019,17,45,20,5,27,3,2019
IndiGo,Delhi,Cochin,1,425,15,4,2019,5,5,12,10,15,4,2019
Multiple carriers,Delhi,Cochin,1,835,18,5,2019,7,5,21,0,18,5,2019
IndiGo,Banglore,Delhi,0,170,3,3,2019,23,30,2,20,3,4,2019
SpiceJet,Banglore,Delhi,0,170,24,4,2019,9,30,12,20,24,4,2019
Jet Airways,Delhi,Cochin,1,1505,6,3,2019,11,30,12,35,6,4,2019
Jet Airways,Kolkata,Banglore,1,870,5,1,2019,20,25,10,55,5,2,2019
Jet Airways,Delhi,Cochin,1,450,21,5,2019,11,30,19,0,21,5,2019
Vistara,Kolkata,Banglore,1,1350,4,1,2019,20,20,18,50,4,2,2019
SpiceJet,Banglore,Delhi,0,170,24,3,2019,20,30,23,20,24,3,2019
IndiGo,Kolkata,Banglore,0,155,5,3,2019,22,15,0,50,5,4,2019
Jet Airways,Mumbai,Hyderabad,0,85,4,1,2019,2,55,4,20,4,1,2019
Air India,Delhi,Cochin,1,735,3,6,2019,7,0,19,15,3,6,2019
Jet Airways,Kolkata,Banglore,1,505,5,6,2019,9,35,18,0,5,6,2019
Jet Airways,Delhi,Cochin,1,1210,27,5,2019,22,50,19,0,28,5,2019
IndiGo,Kolkata,Banglore,0,150,6,1,2019,14,25,16,55,6,1,2019
Air India,Kolkata,Banglore,2,1625,24,5,2019,5,50,8,55,25,5,2019
Jet Airways,Delhi,Cochin,2,1615,24,6,2019,9,40,12,35,25,6,2019
Jet Airways,Kolkata,Banglore,1,685,24,5,2019,8,25,19,50,24,5,2019
Jet Airways,Delhi,Cochin,1,660,6,1,2019,8,0,19,0,6,1,2019
IndiGo,Chennai,Kolkata,0,145,6,1,2019,5,15,7,40,6,1,2019
IndiGo,Banglore,Delhi,0,180,21,6,2019,21,15,0,15,22,6,2019
Air Asia,Delhi,Cochin,1,625,18,5,2019,20,45,7,10,19,5,2019
Jet Airways,Kolkata,Banglore,1,365,6,6,2019,16,30,22,35,6,6,2019
Vistara,Kolkata,Banglore,1,1550,4,1,2019,17,0,18,50,4,2,2019
Jet Airways,Delhi,Cochin,1,330,21,5,2019,7,5,12,35,21,5,2019
Air India,Delhi,Cochin,3,2280,27,6,2019,5,15,19,15,28,6,2019
IndiGo,Chennai,Kolkata,0,140,6,3,2019,19,35,21,55,6,3,2019
Jet Airways,Delhi,Cochin,2,830,6,6,2019,14,35,4,25,6,7,2019
Jet Airways,Banglore,Delhi,0,175,5,6,2019,11,10,14,5,5,6,2019
Multiple carriers,Delhi,Cochin,1,860,18,5,2019,4,55,19,15,18,5,2019
IndiGo,Delhi,Cochin,1,275,6,3,2019,7,35,12,10,6,3,2019
Jet Airways,Delhi,Cochin,1,360,6,9,2019,13,0,19,0,6,9,2019
Air India,Mumbai,Hyderabad,1,850,3,6,2019,19,0,9,10,3,7,2019
Jet Airways,Delhi,Cochin,1,660,4,6,2019,8,0,19,0,4,6,2019
IndiGo,Mumbai,Hyderabad,0,90,5,3,2019,2,35,4,5,5,3,2019
SpiceJet,Kolkata,Banglore,1,435,18,5,2019,11,15,18,30,18,5,2019
Air India,Banglore,Delhi,1,480,3,12,2019,11,50,19,50,3,12,2019
Multiple carriers,Delhi,Cochin,1,780,27,5,2019,8,0,21,0,27,5,2019
Jet Airways,Kolkata,Banglore,1,450,6,6,2019,21,10,4,40,6,7,2019
Jet Airways,Delhi,Cochin,0,195,27,5,2019,11,0,14,15,27,5,2019
Jet Airways,Kolkata,Banglore,1,685,5,12,2019,8,25,19,50,5,12,2019
IndiGo,Mumbai,Hyderabad,0,90,24,6,2019,19,5,20,35,24,6,2019
IndiGo,Delhi,Cochin,1,675,27,3,2019,4,55,16,10,27,3,2019
Jet Airways,Kolkata,Banglore,1,1730,15,5,2019,9,35,14,25,16,5,2019
SpiceJet,Delhi,Cochin,1,270,6,9,2019,8,45,13,15,6,9,2019
Air Asia,Banglore,Delhi,0,165,3,9,2019,23,25,2,10,13,3,2019
Jet Airways,Mumbai,Hyderabad,0,85,6,1,2019,7,5,8,30,6,1,2019
Air India,Kolkata,Banglore,2,805,6,12,2019,9,50,23,15,6,12,2019
GoAir,Delhi,Cochin,1,310,3,3,2019,14,10,19,20,3,3,2019
IndiGo,Kolkata,Banglore,0,155,5,12,2019,22,15,0,50,13,5,2019
Jet Airways,Kolkata,Banglore,1,1430,5,6,2019,16,30,16,20,5,7,2019
IndiGo,Delhi,Cochin,1,965,6,1,2019,4,55,21,0,6,1,2019
Multiple carriers,Delhi,Cochin,1,915,21,3,2019,7,5,22,20,21,3,2019
Air India,Kolkata,Banglore,2,765,18,5,2019,16,50,5,35,19,5,2019
Jet Airways,Kolkata,Banglore,1,570,6,12,2019,14,5,23,35,6,12,2019
Air India,Kolkata,Banglore,2,875,24,5,2019,5,50,20,25,24,5,2019
IndiGo,Banglore,Delhi,0,170,27,5,2019,20,0,22,50,27,5,2019
Multiple carriers,Delhi,Cochin,1,730,21,3,2019,6,40,18,50,21,3,2019
Jet Airways,Kolkata,Banglore,1,775,5,1,2019,21,10,10,5,5,2,2019
Jet Airways,Delhi,Cochin,1,940,6,3,2019,20,55,12,35,6,4,2019
Jet Airways,Delhi,Cochin,1,600,18,5,2019,9,0,19,0,18,5,2019
Jet Airways,Delhi,Cochin,1,940,6,12,2019,20,55,12,35,13,6,2019
Multiple carriers Premium economy,Delhi,Cochin,1,395,21,3,2019,6,0,12,35,21,3,2019
Air India,Mumbai,Hyderabad,0,80,5,1,2019,21,5,22,25,5,1,2019
IndiGo,Kolkata,Banglore,0,155,6,6,2019,9,35,12,10,6,6,2019
Jet Airways,Kolkata,Banglore,1,520,21,5,2019,20,0,4,40,22,5,2019
IndiGo,Delhi,Cochin,1,665,27,5,2019,5,5,16,10,27,5,2019
Jet Airways,Kolkata,Banglore,1,1365,21,5,2019,20,25,19,10,22,5,2019
Jet Airways,Delhi,Cochin,2,505,18,5,2019,20,0,4,25,19,5,2019
Jet Airways,Delhi,Cochin,2,995,27,6,2019,20,0,12,35,28,6,2019
IndiGo,Delhi,Cochin,1,575,6,1,2019,11,25,21,0,6,1,2019
Jet Airways,Mumbai,Hyderabad,0,90,24,3,2019,19,35,21,5,24,3,2019
Jet Airways,Kolkata,Banglore,1,1495,6,9,2019,18,55,19,50,6,10,2019
IndiGo,Delhi,Cochin,1,975,24,6,2019,9,15,1,30,25,6,2019
IndiGo,Banglore,Delhi,0,170,24,4,2019,22,10,1,0,25,4,2019
Jet Airways,Banglore,Delhi,1,935,3,6,2019,5,45,21,20,3,6,2019
Air India,Delhi,Cochin,1,555,24,6,2019,10,0,19,15,24,6,2019
Jet Airways,Kolkata,Banglore,1,1155,5,6,2019,14,5,9,20,5,7,2019
Air India,Banglore,Delhi,2,1030,3,3,2019,6,45,23,55,3,3,2019
SpiceJet,Delhi,Cochin,1,380,6,1,2019,15,45,22,5,6,1,2019
Jet Airways,Delhi,Cochin,2,1430,5,1,2019,19,10,19,0,5,2,2019
Jet Airways,Delhi,Cochin,2,1465,21,3,2019,18,25,18,50,22,3,2019
IndiGo,Delhi,Cochin,1,665,18,5,2019,5,5,16,10,18,5,2019
SpiceJet,Mumbai,Hyderabad,0,90,5,9,2019,5,45,7,15,5,9,2019
Jet Airways,Banglore,Delhi,0,185,5,6,2019,18,55,22,0,5,6,2019
Air India,Delhi,Cochin,1,955,27,5,2019,17,40,9,35,28,5,2019
Jet Airways,Banglore,Delhi,0,175,24,5,2019,15,15,18,10,24,5,2019
Jet Airways,Delhi,Cochin,1,1570,18,5,2019,2,15,4,25,19,5,2019
Jet Airways,Delhi,Cochin,1,1610,3,9,2019,16,0,18,50,3,10,2019
Air India,Banglore,Delhi,1,1520,3,1,2019,22,0,23,20,3,2,2019
IndiGo,Banglore,Delhi,0,175,15,5,2019,18,55,21,50,15,5,2019
IndiGo,Banglore,Delhi,0,170,3,9,2019,23,30,2,20,3,10,2019
IndiGo,Mumbai,Hyderabad,0,90,5,3,2019,6,25,7,55,5,3,2019
Air India,Banglore,Delhi,2,880,3,6,2019,8,15,22,55,3,6,2019
Jet Airways,Banglore,Delhi,0,180,5,12,2019,8,20,11,20,5,12,2019
Air India,Kolkata,Banglore,2,1665,15,5,2019,10,0,13,45,16,5,2019
Multiple carriers,Delhi,Cochin,2,625,24,6,2019,15,5,1,30,25,6,2019
Air India,Delhi,Cochin,2,1730,5,9,2019,14,25,19,15,5,10,2019
Jet Airways,Banglore,Delhi,0,180,27,4,2019,7,10,10,10,27,4,2019
Jet Airways,Kolkata,Banglore,2,1495,21,5,2019,6,30,7,25,22,5,2019
Jet Airways,Banglore,Delhi,0,180,24,4,2019,7,10,10,10,24,4,2019
Jet Airways,Kolkata,Banglore,1,1430,6,6,2019,20,0,19,50,6,7,2019
Jet Airways,Delhi,Cochin,2,1620,15,6,2019,9,35,12,35,16,6,2019
Vistara,Kolkata,Banglore,1,865,18,5,2019,20,20,10,45,19,5,2019
Air India,Delhi,Cochin,1,1590,4,3,2019,20,30,23,0,4,4,2019
IndiGo,Kolkata,Banglore,1,265,5,1,2019,19,20,23,45,5,1,2019
Jet Airways,Banglore,Delhi,0,180,27,6,2019,19,50,22,50,27,6,2019
IndiGo,Chennai,Kolkata,0,140,6,3,2019,13,15,15,35,6,3,2019
Jet Airways,Banglore,Delhi,0,180,6,9,2019,7,10,10,10,6,9,2019
Jet Airways,Kolkata,Banglore,1,665,6,9,2019,21,10,8,15,6,10,2019
Jet Airways,Delhi,Cochin,1,925,24,6,2019,13,0,4,25,25,6,2019
Jet Airways,Banglore,Delhi,0,185,18,4,2019,18,55,22,0,18,4,2019
IndiGo,Chennai,Kolkata,0,140,6,6,2019,7,55,10,15,6,6,2019
Vistara,Kolkata,Banglore,1,385,6,9,2019,17,0,23,25,6,9,2019
SpiceJet,Kolkata,Banglore,0,140,24,6,2019,22,20,0,40,25,6,2019
Multiple carriers,Delhi,Cochin,1,755,27,6,2019,6,40,19,15,27,6,2019
Air India,Kolkata,Banglore,1,965,6,9,2019,19,0,11,5,6,10,2019
Jet Airways,Delhi,Cochin,0,195,15,6,2019,11,0,14,15,15,6,2019
IndiGo,Delhi,Cochin,1,455,15,4,2019,8,35,16,10,15,4,2019
IndiGo,Kolkata,Banglore,0,150,4,12,2019,14,25,16,55,4,12,2019
IndiGo,Banglore,Delhi,1,290,3,3,2019,7,30,12,20,3,3,2019
IndiGo,Banglore,Delhi,0,170,15,6,2019,10,10,13,0,15,6,2019
SpiceJet,Kolkata,Banglore,0,155,5,1,2019,6,55,9,30,5,1,2019
Air India,Banglore,Delhi,2,1705,3,3,2019,6,45,11,10,3,7,2019
IndiGo,Kolkata,Banglore,0,155,5,1,2019,4,40,7,15,5,1,2019
IndiGo,Kolkata,Banglore,0,150,18,4,2019,14,25,16,55,18,4,2019
IndiGo,Mumbai,Hyderabad,0,95,6,12,2019,20,5,21,40,6,12,2019
Jet Airways,Banglore,Delhi,0,160,24,3,2019,19,55,22,35,24,3,2019
IndiGo,Banglore,Delhi,0,175,6,12,2019,0,30,3,25,6,12,2019
Air India,Delhi,Cochin,2,1100,5,9,2019,13,20,7,40,5,10,2019
Air India,Delhi,Cochin,1,675,4,9,2019,8,0,19,15,4,9,2019
IndiGo,Kolkata,Banglore,0,155,27,5,2019,20,20,22,55,27,5,2019
SpiceJet,Banglore,Delhi,0,175,6,9,2019,21,10,0,5,6,10,2019
IndiGo,Kolkata,Banglore,1,340,21,5,2019,16,35,22,15,21,5,2019
Air India,Delhi,Cochin,2,2240,4,9,2019,5,55,19,15,4,10,2019
SpiceJet,Banglore,Delhi,0,170,5,9,2019,9,30,12,20,5,9,2019
Jet Airways,Banglore,Delhi,1,725,3,12,2019,21,25,9,30,13,3,2019
Vistara,Mumbai,Hyderabad,1,1555,3,12,2019,7,30,9,25,13,3,2019
Jet Airways,Delhi,Cochin,1,715,18,5,2019,7,5,19,0,18,5,2019
Multiple carriers,Delhi,Cochin,1,690,3,6,2019,4,0,15,30,3,6,2019
Air India,Delhi,Cochin,1,1455,6,1,2019,19,0,19,15,6,2,2019
GoAir,Delhi,Cochin,1,370,15,4,2019,7,25,13,35,15,4,2019
IndiGo,Delhi,Cochin,1,320,27,5,2019,6,50,12,10,27,5,2019
Jet Airways,Kolkata,Banglore,1,570,6,6,2019,14,5,23,35,6,6,2019
Jet Airways,Delhi,Cochin,2,1195,24,6,2019,23,5,19,0,25,6,2019
Jet Airways,Mumbai,Hyderabad,0,85,5,3,2019,7,5,8,30,5,3,2019
Multiple carriers,Delhi,Cochin,2,495,3,6,2019,13,5,21,20,3,6,2019
IndiGo,Delhi,Cochin,1,300,15,4,2019,16,0,21,0,15,4,2019
Air India,Kolkata,Banglore,0,155,18,5,2019,20,45,23,20,18,5,2019
IndiGo,Chennai,Kolkata,0,145,3,3,2019,11,35,14,0,3,3,2019
Jet Airways,Banglore,Delhi,0,180,5,6,2019,19,50,22,50,5,6,2019
Jet Airways,Banglore,Delhi,1,900,3,6,2019,14,5,5,5,3,7,2019
SpiceJet,Kolkata,Banglore,0,155,6,12,2019,6,55,9,30,6,12,2019
IndiGo,Delhi,Cochin,1,345,6,1,2019,21,50,3,35,6,2,2019
Jet Airways,Mumbai,Hyderabad,0,90,6,9,2019,19,35,21,5,6,9,2019
SpiceJet,Kolkata,Banglore,0,150,4,12,2019,17,10,19,40,4,12,2019
Air India,Delhi,Cochin,2,1210,27,5,2019,13,15,9,25,28,5,2019
GoAir,Delhi,Cochin,1,355,6,3,2019,7,0,12,55,6,3,2019
Air India,Kolkata,Banglore,0,150,6,9,2019,14,15,16,45,6,9,2019
Jet Airways,Kolkata,Banglore,1,1395,24,3,2019,18,55,18,10,25,3,2019
Jet Airways,Delhi,Cochin,2,1760,5,9,2019,23,5,4,25,5,11,2019
Vistara,Delhi,Cochin,0,190,21,4,2019,14,40,17,50,21,4,2019
Air India,Delhi,Cochin,2,1800,15,6,2019,13,15,19,15,16,6,2019
Air Asia,Kolkata,Banglore,2,500,24,5,2019,15,10,23,30,24,5,2019
Air Asia,Delhi,Cochin,1,865,27,4,2019,16,45,7,10,28,4,2019
Jet Airways,Delhi,Cochin,1,1145,21,5,2019,17,30,12,35,22,5,2019
IndiGo,Kolkata,Banglore,0,160,27,3,2019,20,25,23,5,27,3,2019
Vistara,Kolkata,Banglore,1,1440,6,9,2019,20,20,20,20,6,10,2019
Air India,Banglore,Delhi,1,1405,3,1,2019,0,30,23,55,3,1,2019
Air India,Banglore,Delhi,1,700,3,1,2019,11,5,22,45,3,1,2019
Air India,Delhi,Cochin,0,180,18,4,2019,14,10,17,10,18,4,2019
IndiGo,Chennai,Kolkata,0,140,3,1,2019,5,15,7,35,3,1,2019
Jet Airways,Delhi,Cochin,1,335,27,5,2019,22,50,4,25,28,5,2019
Multiple carriers,Delhi,Cochin,1,650,3,3,2019,8,0,18,50,3,3,2019
IndiGo,Kolkata,Banglore,1,325,5,1,2019,18,5,23,30,5,1,2019
Air India,Kolkata,Banglore,2,805,4,1,2019,9,50,23,15,4,1,2019
Jet Airways,Delhi,Cochin,1,620,5,9,2019,2,15,12,35,5,9,2019
Jet Airways,Mumbai,Hyderabad,0,85,27,3,2019,7,10,8,35,27,3,2019
IndiGo,Kolkata,Banglore,1,325,6,12,2019,18,5,23,30,6,12,2019
Jet Airways,Kolkata,Banglore,1,575,5,6,2019,9,35,19,10,5,6,2019
Air India,Delhi,Cochin,1,765,15,5,2019,20,40,9,25,16,5,2019
Jet Airways,Kolkata,Banglore,1,590,5,12,2019,6,30,16,20,5,12,2019
IndiGo,Delhi,Cochin,1,455,15,6,2019,8,35,16,10,15,6,2019
Jet Airways,Delhi,Cochin,2,1760,27,6,2019,23,5,4,25,29,6,2019
Air India,Banglore,Delhi,0,170,18,4,2019,21,5,23,55,18,4,2019
IndiGo,Banglore,Delhi,0,180,5,3,2019,21,15,0,15,5,4,2019
IndiGo,Delhi,Cochin,1,750,15,6,2019,8,30,21,0,15,6,2019
Jet Airways,Delhi,Cochin,2,1350,6,9,2019,14,5,12,35,6,10,2019
Jet Airways,Delhi,Cochin,1,825,4,1,2019,22,50,12,35,4,2,2019
SpiceJet,Delhi,Cochin,1,315,18,5,2019,6,5,11,20,18,5,2019
Vistara,Chennai,Kolkata,0,140,15,6,2019,17,45,20,5,15,6,2019
Jet Airways,Kolkata,Banglore,1,1090,21,5,2019,14,5,8,15,22,5,2019
SpiceJet,Kolkata,Banglore,0,150,4,9,2019,17,10,19,40,4,9,2019
Air India,Delhi,Cochin,1,735,21,3,2019,7,0,19,15,21,3,2019
Multiple carriers,Delhi,Cochin,1,570,27,5,2019,11,30,21,0,27,5,2019
SpiceJet,Banglore,Delhi,0,170,4,6,2019,9,30,12,20,4,6,2019
Air India,Delhi,Cochin,1,1350,6,12,2019,9,45,8,15,13,6,2019
SpiceJet,Chennai,Kolkata,0,135,27,3,2019,8,20,10,35,27,3,2019
IndiGo,Chennai,Kolkata,0,140,3,12,2019,7,55,10,15,3,12,2019
IndiGo,Banglore,Delhi,0,170,5,12,2019,8,30,11,20,5,12,2019
Jet Airways,Kolkata,Banglore,1,450,18,5,2019,21,10,4,40,19,5,2019
Jet Airways,Kolkata,Banglore,1,590,15,5,2019,8,25,18,15,15,5,2019
SpiceJet,Mumbai,Hyderabad,0,90,18,5,2019,13,15,14,45,18,5,2019
Jet Airways,Delhi,Cochin,2,535,27,5,2019,19,30,4,25,28,5,2019
Multiple carriers,Delhi,Cochin,1,490,15,5,2019,12,50,21,0,15,5,2019
Air India,Mumbai,Hyderabad,0,85,5,3,2019,15,0,16,25,5,3,2019
Jet Airways,Banglore,Delhi,0,180,18,5,2019,17,45,20,45,18,5,2019
Jet Airways,Delhi,Cochin,1,450,15,6,2019,11,30,19,0,15,6,2019
Jet Airways,Delhi,Cochin,1,440,21,3,2019,11,30,18,50,21,3,2019
Jet Airways,Delhi,Cochin,1,660,6,9,2019,8,0,19,0,6,9,2019
Air India,Kolkata,Banglore,2,760,24,3,2019,9,10,21,50,24,3,2019
IndiGo,Delhi,Cochin,1,860,6,9,2019,6,40,21,0,6,9,2019
IndiGo,Delhi,Cochin,0,195,4,3,2019,14,20,17,35,4,3,2019
Jet Airways,Kolkata,Banglore,1,590,6,9,2019,8,25,18,15,6,9,2019
Jet Airways,Delhi,Cochin,2,1300,15,6,2019,6,45,4,25,16,6,2019
Jet Airways,Delhi,Cochin,2,970,6,12,2019,12,15,4,25,13,6,2019
Air Asia,Delhi,Cochin,1,340,6,6,2019,16,45,22,25,6,6,2019
Air India,Kolkata,Banglore,2,1185,18,5,2019,16,45,12,30,19,5,2019
Jet Airways,Mumbai,Hyderabad,0,90,4,3,2019,10,20,11,50,4,3,2019
